"Instruction_Set","Instruction","Opcode","Operand_1","Operand_2","Bytes_Cycles","Flags_Z_N_H_C","Hex","Binary","Binary_Split","Binary_Prefix","Binary_Split1","Binary_Split2","Binary_Split3"
"Base","NOP","NOP","","","1  4","- - - -","00","00000000","00 000 000","","00","000","000"
"Base","LD BC,d16","LD","BC","d16","3  12","- - - -","01","00000001","00 000 001","","00","000","001"
"Base","LD (BC),A","LD","(BC)","A","1  8","- - - -","02","00000010","00 000 010","","00","000","010"
"Base","INC BC","INC","BC","","1  8","- - - -","03","00000011","00 000 011","","00","000","011"
"Base","INC B","INC","B","","1  4","Z 0 H -","04","00000100","00 000 100","","00","000","100"
"Base","DEC B","DEC","B","","1  4","Z 1 H -","05","00000101","00 000 101","","00","000","101"
"Base","LD B,d8","LD","B","d8","2  8","- - - -","06","00000110","00 000 110","","00","000","110"
"Base","RLCA","RLCA","","","1  4","0 0 0 C","07","00000111","00 000 111","","00","000","111"
"Base","LD (a16),SP","LD","(a16)","SP","3  20","- - - -","08","00001000","00 001 000","","00","001","000"
"Base","ADD HL,BC","ADD","HL","BC","1  8","- 0 H C","09","00001001","00 001 001","","00","001","001"
"Base","LD A,(BC)","LD","A","(BC)","1  8","- - - -","0A","00001010","00 001 010","","00","001","010"
"Base","DEC BC","DEC","BC","","1  8","- - - -","0B","00001011","00 001 011","","00","001","011"
"Base","INC C","INC","C","","1  4","Z 0 H -","0C","00001100","00 001 100","","00","001","100"
"Base","DEC C","DEC","C","","1  4","Z 1 H -","0D","00001101","00 001 101","","00","001","101"
"Base","LD C,d8","LD","C","d8","2  8","- - - -","0E","00001110","00 001 110","","00","001","110"
"Base","RRCA","RRCA","","","1  4","0 0 0 C","0F","00001111","00 001 111","","00","001","111"
"Base","STOP 0","STOP","0","","2  4","- - - -","10","00010000","00 010 000","","00","010","000"
"Base","LD DE,d16","LD","DE","d16","3  12","- - - -","11","00010001","00 010 001","","00","010","001"
"Base","LD (DE),A","LD","(DE)","A","1  8","- - - -","12","00010010","00 010 010","","00","010","010"
"Base","INC DE","INC","DE","","1  8","- - - -","13","00010011","00 010 011","","00","010","011"
"Base","INC D","INC","D","","1  4","Z 0 H -","14","00010100","00 010 100","","00","010","100"
"Base","DEC D","DEC","D","","1  4","Z 1 H -","15","00010101","00 010 101","","00","010","101"
"Base","LD D,d8","LD","D","d8","2  8","- - - -","16","00010110","00 010 110","","00","010","110"
"Base","RLA","RLA","","","1  4","0 0 0 C","17","00010111","00 010 111","","00","010","111"
"Base","JR r8","JR","r8","","2  12","- - - -","18","00011000","00 011 000","","00","011","000"
"Base","ADD HL,DE","ADD","HL","DE","1  8","- 0 H C","19","00011001","00 011 001","","00","011","001"
"Base","LD A,(DE)","LD","A","(DE)","1  8","- - - -","1A","00011010","00 011 010","","00","011","010"
"Base","DEC DE","DEC","DE","","1  8","- - - -","1B","00011011","00 011 011","","00","011","011"
"Base","INC E","INC","E","","1  4","Z 0 H -","1C","00011100","00 011 100","","00","011","100"
"Base","DEC E","DEC","E","","1  4","Z 1 H -","1D","00011101","00 011 101","","00","011","101"
"Base","LD E,d8","LD","E","d8","2  8","- - - -","1E","00011110","00 011 110","","00","011","110"
"Base","RRA","RRA","","","1  4","0 0 0 C","1F","00011111","00 011 111","","00","011","111"
"Base","JR NZ,r8","JR","NZ","r8","2  12/8","- - - -","20","00100000","00 100 000","","00","100","000"
"Base","LD HL,d16","LD","HL","d16","3  12","- - - -","21","00100001","00 100 001","","00","100","001"
"Base","LD (HL+),A","LD","(HL+)","A","1  8","- - - -","22","00100010","00 100 010","","00","100","010"
"Base","INC HL","INC","HL","","1  8","- - - -","23","00100011","00 100 011","","00","100","011"
"Base","INC H","INC","H","","1  4","Z 0 H -","24","00100100","00 100 100","","00","100","100"
"Base","DEC H","DEC","H","","1  4","Z 1 H -","25","00100101","00 100 101","","00","100","101"
"Base","LD H,d8","LD","H","d8","2  8","- - - -","26","00100110","00 100 110","","00","100","110"
"Base","DAA","DAA","","","1  4","Z - 0 C","27","00100111","00 100 111","","00","100","111"
"Base","JR Z,r8","JR","Z","r8","2  12/8","- - - -","28","00101000","00 101 000","","00","101","000"
"Base","ADD HL,HL","ADD","HL","HL","1  8","- 0 H C","29","00101001","00 101 001","","00","101","001"
"Base","LD A,(HL+)","LD","A","(HL+)","1  8","- - - -","2A","00101010","00 101 010","","00","101","010"
"Base","DEC HL","DEC","HL","","1  8","- - - -","2B","00101011","00 101 011","","00","101","011"
"Base","INC L","INC","L","","1  4","Z 0 H -","2C","00101100","00 101 100","","00","101","100"
"Base","DEC L","DEC","L","","1  4","Z 1 H -","2D","00101101","00 101 101","","00","101","101"
"Base","LD L,d8","LD","L","d8","2  8","- - - -","2E","00101110","00 101 110","","00","101","110"
"Base","CPL","CPL","","","1  4","- 1 1 -","2F","00101111","00 101 111","","00","101","111"
"Base","JR NC,r8","JR","NC","r8","2  12/8","- - - -","30","00110000","00 110 000","","00","110","000"
"Base","LD SP,d16","LD","SP","d16","3  12","- - - -","31","00110001","00 110 001","","00","110","001"
"Base","LD (HL-),A","LD","(HL-)","A","1  8","- - - -","32","00110010","00 110 010","","00","110","010"
"Base","INC SP","INC","SP","","1  8","- - - -","33","00110011","00 110 011","","00","110","011"
"Base","INC (HL)","INC","(HL)","","1  12","Z 0 H -","34","00110100","00 110 100","","00","110","100"
"Base","DEC (HL)","DEC","(HL)","","1  12","Z 1 H -","35","00110101","00 110 101","","00","110","101"
"Base","LD (HL),d8","LD","(HL)","d8","2  12","- - - -","36","00110110","00 110 110","","00","110","110"
"Base","SCF","SCF","","","1  4","- 0 0 1","37","00110111","00 110 111","","00","110","111"
"Base","JR C,r8","JR","C","r8","2  12/8","- - - -","38","00111000","00 111 000","","00","111","000"
"Base","ADD HL,SP","ADD","HL","SP","1  8","- 0 H C","39","00111001","00 111 001","","00","111","001"
"Base","LD A,(HL-)","LD","A","(HL-)","1  8","- - - -","3A","00111010","00 111 010","","00","111","010"
"Base","DEC SP","DEC","SP","","1  8","- - - -","3B","00111011","00 111 011","","00","111","011"
"Base","INC A","INC","A","","1  4","Z 0 H -","3C","00111100","00 111 100","","00","111","100"
"Base","DEC A","DEC","A","","1  4","Z 1 H -","3D","00111101","00 111 101","","00","111","101"
"Base","LD A,d8","LD","A","d8","2  8","- - - -","3E","00111110","00 111 110","","00","111","110"
"Base","CCF","CCF","","","1  4","- 0 0 C","3F","00111111","00 111 111","","00","111","111"
"Base","LD B,B","LD","B","B","1  4","- - - -","40","01000000","01 000 000","","01","000","000"
"Base","LD B,C","LD","B","C","1  4","- - - -","41","01000001","01 000 001","","01","000","001"
"Base","LD B,D","LD","B","D","1  4","- - - -","42","01000010","01 000 010","","01","000","010"
"Base","LD B,E","LD","B","E","1  4","- - - -","43","01000011","01 000 011","","01","000","011"
"Base","LD B,H","LD","B","H","1  4","- - - -","44","01000100","01 000 100","","01","000","100"
"Base","LD B,L","LD","B","L","1  4","- - - -","45","01000101","01 000 101","","01","000","101"
"Base","LD B,(HL)","LD","B","(HL)","1  8","- - - -","46","01000110","01 000 110","","01","000","110"
"Base","LD B,A","LD","B","A","1  4","- - - -","47","01000111","01 000 111","","01","000","111"
"Base","LD C,B","LD","C","B","1  4","- - - -","48","01001000","01 001 000","","01","001","000"
"Base","LD C,C","LD","C","C","1  4","- - - -","49","01001001","01 001 001","","01","001","001"
"Base","LD C,D","LD","C","D","1  4","- - - -","4A","01001010","01 001 010","","01","001","010"
"Base","LD C,E","LD","C","E","1  4","- - - -","4B","01001011","01 001 011","","01","001","011"
"Base","LD C,H","LD","C","H","1  4","- - - -","4C","01001100","01 001 100","","01","001","100"
"Base","LD C,L","LD","C","L","1  4","- - - -","4D","01001101","01 001 101","","01","001","101"
"Base","LD C,(HL)","LD","C","(HL)","1  8","- - - -","4E","01001110","01 001 110","","01","001","110"
"Base","LD C,A","LD","C","A","1  4","- - - -","4F","01001111","01 001 111","","01","001","111"
"Base","LD D,B","LD","D","B","1  4","- - - -","50","01010000","01 010 000","","01","010","000"
"Base","LD D,C","LD","D","C","1  4","- - - -","51","01010001","01 010 001","","01","010","001"
"Base","LD D,D","LD","D","D","1  4","- - - -","52","01010010","01 010 010","","01","010","010"
"Base","LD D,E","LD","D","E","1  4","- - - -","53","01010011","01 010 011","","01","010","011"
"Base","LD D,H","LD","D","H","1  4","- - - -","54","01010100","01 010 100","","01","010","100"
"Base","LD D,L","LD","D","L","1  4","- - - -","55","01010101","01 010 101","","01","010","101"
"Base","LD D,(HL)","LD","D","(HL)","1  8","- - - -","56","01010110","01 010 110","","01","010","110"
"Base","LD D,A","LD","D","A","1  4","- - - -","57","01010111","01 010 111","","01","010","111"
"Base","LD E,B","LD","E","B","1  4","- - - -","58","01011000","01 011 000","","01","011","000"
"Base","LD E,C","LD","E","C","1  4","- - - -","59","01011001","01 011 001","","01","011","001"
"Base","LD E,D","LD","E","D","1  4","- - - -","5A","01011010","01 011 010","","01","011","010"
"Base","LD E,E","LD","E","E","1  4","- - - -","5B","01011011","01 011 011","","01","011","011"
"Base","LD E,H","LD","E","H","1  4","- - - -","5C","01011100","01 011 100","","01","011","100"
"Base","LD E,L","LD","E","L","1  4","- - - -","5D","01011101","01 011 101","","01","011","101"
